time,country,case,cure,death,longitude,latitude
2020-01-23,Lebanon,0,0,0,35.88016072,33.92306631
2020-01-23,Liberia,0,0,0,-9.32207573,6.45278492
2020-01-23,Libya,0,0,0,18.00866169,27.03094495
2020-01-23,Liechtenstein,0,0,0,9.53574312,47.13665835
2020-01-23,Lithuania,0,0,0,23.88719355,55.32610984
2020-01-23,Luxembourg,0,0,0,6.07182201,49.76725361
2020-01-23,Madagascar,0,0,0,46.70473674,-19.37189587
2020-01-23,Malawi,0,0,0,34.28935599,-13.21808088
2020-01-23,Malaysia,0,0,0,109.6976228,3.78986846
2020-01-23,Maldives,0,0,0,73.45713004,3.7287092
2020-01-23,Mali,0,0,0,-3.54269065,17.34581581
2020-01-23,Malta,0,0,0,14.40523316,35.92149632
2020-01-23,Mauritania,0,0,0,-10.34779815,20.25736706
2020-01-23,Mauritius,0,0,0,57.57120551,-20.27768704
2020-01-23,Mexico,0,0,0,-102.5234517,23.94753724
2020-01-23,Moldova,0,0,0,28.45673372,47.19498804
2020-01-23,Monaco,0,0,0,7.40627677,43.75274627
2020-01-23,Mongolia,0,0,0,103.0529977,46.82681544
2020-01-23,Montenegro,0,0,0,19.23883939,42.78890259
2020-01-23,Montserrat,0,0,0,-62.18518546,16.73941406
2020-01-23,Morocco,0,0,0,-8.45615795,29.83762955
2020-01-23,Mozambique,0,0,0,35.53367543,-17.27381643
2020-01-23,Myanmar,0,0,0,96.48843321,21.18566599
2020-01-23,Namibia,0,0,0,17.20963567,-22.13032568
2020-01-23,Nepal,0,0,0,83.9158264,28.24891365
2020-01-23,Netherlands,0,0,0,5.28144793,52.1007899
2020-01-23,New Caledonia,0,0,0,165.6849237,-21.29991806
2020-01-23,New Zealand,0,0,0,171.4849235,-41.81113557
2020-01-23,Nicaragua,0,0,0,-85.0305297,12.84709429
2020-01-23,Niger,0,0,0,9.38545882,17.41912493
2020-01-23,Nigeria,0,0,0,8.08943895,9.59411452
2020-01-23,Norway,0,0,0,15.34834656,68.75015572
2020-01-23,Oman,0,0,0,56.09166155,20.60515333
2020-01-23,Pakistan,0,0,0,69.33957937,29.9497515
2020-01-23,Panama,0,0,0,-80.11915156,8.51750797
2020-01-23,Papua New Guinea,0,0,0,145.2074475,-6.46416646
2020-01-23,Paraguay,0,0,0,-58.40013703,-23.22823913
2020-01-23,Peru,0,0,0,-74.38242685,-9.15280381
2020-01-23,Philippines,0,0,0,122.8839325,11.77536778
2020-01-23,Poland,0,0,0,19.39012835,52.12759564
2020-01-23,Portugal,0,0,0,-8.50104361,39.59550671
2020-01-23,Qatar,0,0,0,51.18479632,25.30601188
2020-01-23,Romania,0,0,0,24.97293039,45.85243127
2020-01-23,Rwanda,0,0,0,29.91988515,-1.99033832
2020-01-23,San Marino,0,0,0,12.45922334,43.94186747
2020-01-23,Saudi Arabia,0,0,0,44.53686271,24.12245841
2020-01-23,Senegal,0,0,0,-14.4734924,14.36624173
2020-01-23,Serbia,0,0,0,20.78958334,44.2215032
2020-01-23,Seychelles,0,0,0,55.47603279,-4.66099094
2020-01-23,Sierra Leone,0,0,0,-11.79271247,8.56329593
2020-01-23,Singapore,1,0,0,103.8172559,1.35876087
2020-01-23,Slovenia,0,0,0,14.80444238,46.11554772
2020-01-23,Somalia,0,0,0,45.70714487,4.75062876
2020-01-23,South Africa,0,0,0,25.08390093,-29.00034095
2020-01-23,South Sudan,0,0,0,30.24790002,7.30877945
2020-01-23,Spain,0,0,0,-3.64755047,40.24448698
2020-01-23,Sri Lanka,0,0,0,80.70108238,7.61266509
2020-01-23,Sudan,0,0,0,29.94046812,15.99035669
2020-01-23,Suriname,0,0,0,-55.9123457,4.13055413
2020-01-23,Sweden,0,0,0,16.74558049,62.77966519
2020-01-23,Switzerland,0,0,0,8.20867471,46.79785878
2020-01-23,Tanzania,0,0,0,34.81309981,-6.27565408
2020-01-23,Thailand,1,0,0,101.0028813,15.11815794
2020-01-23,Timor-Leste,0,0,0,125.8443898,-8.82889162
2020-01-23,Togo,0,0,0,0.96232845,8.52531356
2020-01-23,Trinidad and Tobago,0,0,0,-61.26567923,10.45733408
2020-01-23,Tunisia,0,0,0,9.55288359,34.11956246
2020-01-23,Turkey,0,0,0,35.16895346,39.0616029
2020-01-23,Turks and Caicos Islands,0,0,0,-71.97387881,21.83047572
2020-01-23,Uganda,0,0,0,32.36907971,1.27469299
2020-01-23,Ukraine,0,0,0,31.38326469,48.99656673
2020-01-23,United Arab Emirates,0,0,0,54.3001671,23.90528188
2020-01-23,United Kingdom,0,0,0,-2.86563164,54.12387156
2020-01-23,Uruguay,0,0,0,-56.01807053,-32.79951534
2020-01-23,Uzbekistan,0,0,0,63.14001528,41.75554225
2020-01-23,Vietnam,2,0,0,106.299147,16.6460167
2020-01-23,Western Sahara,0,0,0,-12.21982755,24.22956739
2020-01-23,Zambia,0,0,0,27.77475946,-13.45824152
2020-01-23,Zimbabwe,0,0,0,29.8514412,-19.00420419
2020-01-24,Afghanistan,0,0,0,66.00473366,33.83523073
2020-01-24,Albania,0,0,0,20.04983396,41.14244989
2020-01-24,Algeria,0,0,0,2.61732301,28.15893849
2020-01-24,Andorra,0,0,0,1.56054378,42.54229102
2020-01-24,Angola,0,0,0,17.53736768,-12.29336054
2020-01-24,Anguilla,0,0,0,-63.06498927,18.2239595
2020-01-24,Antigua and Barbuda,0,0,0,-61.79469343,17.2774996
2020-01-24,Argentina,0,0,0,-65.17980692,-35.3813488
2020-01-24,Armenia,0,0,0,44.92993276,40.28952569
2020-01-24,Aruba,0,0,0,-69.98267711,12.52088038
2020-01-24,Australia,0,0,0,134.4910001,-25.73288704
2020-01-24,Austria,0,0,0,14.1264761,47.58549439
2020-01-24,Azerbaijan,0,0,0,47.54599879,40.28827235
2020-01-24,Bahrain,0,0,0,50.54196932,26.04205135
2020-01-24,Bangladesh,0,0,0,90.23812743,23.86731158
2020-01-24,Barbados,0,0,0,-59.559797,13.18145428
2020-01-24,Belarus,0,0,0,28.03209307,53.53131377
2020-01-24,Belgium,0,0,0,4.64065114,50.63981576
2020-01-24,Belize,0,0,0,-88.71010486,17.20027509
2020-01-24,Benin,0,0,0,2.32785254,9.6417597
2020-01-24,Bermuda,0,0,0,-64.7545589,32.31367802
2020-01-24,Bhutan,0,0,0,90.40188155,27.41106589
2020-01-24,Bolivia,0,0,0,-64.68538645,-16.70814787
2020-01-24,Bosnia and Herzegovina,0,0,0,17.76876733,44.17450125
2020-01-24,Botswana,0,0,0,23.79853368,-22.18403213
2020-01-24,Brazil,0,0,0,-53.09783113,-10.78777702
2020-01-24,British Virgin Islands,0,0,0,-64.47146992,18.52585755
2020-01-24,Brunei,0,0,0,114.7220304,4.51968958
2020-01-24,Bulgaria,0,0,0,25.21552909,42.76890318
2020-01-24,Burkina Faso,0,0,0,-1.75456601,12.26953846
2020-01-24,Burundi,0,0,0,29.87512156,-3.35939666
2020-01-24,Cambodia,0,0,0,104.9069433,12.72004786
2020-01-24,Cameroon,0,0,0,12.73964156,5.69109849
2020-01-24,Canada,0,0,0,-98.30777028,61.36206324
2020-01-24,Cape Verde,0,0,0,-23.9598882,15.95523324
2020-01-24,Cayman Islands,0,0,0,-80.91213321,19.42896497
2020-01-24,Central African Republic,0,0,0,20.46826831,6.56823297
2020-01-24,Chad,0,0,0,18.64492513,15.33333758
2020-01-24,Chile,0,0,0,-71.38256213,-37.73070989
2020-01-24,China,457,4,16,103.8190735,36.56176546
2020-01-24,Colombia,0,0,0,-73.08114582,3.91383431
2020-01-24,Costa Rica,0,0,0,-84.19208768,9.97634464
2020-01-24,Croatia,0,0,0,16.40412899,45.08047631
2020-01-24,Cuba,0,0,0,-79.01605384,21.62289528
2020-01-24,Cyprus,0,0,0,33.0060022,34.91667211
2020-01-24,Denmark,0,0,0,10.02800992,55.98125296
2020-01-24,Djibouti,0,0,0,42.5606754,11.74871806
2020-01-24,Dominica,0,0,0,-61.357726,15.4394702
2020-01-24,Dominican Republic,0,0,0,-70.50568896,18.89433082
2020-01-24,Ecuador,0,0,0,-78.75201922,-1.42381612
2020-01-24,El Salvador,0,0,0,-88.87164469,13.73943744
2020-01-24,Equatorial Guinea,0,0,0,10.34137924,1.70555135
2020-01-24,Eritrea,0,0,0,38.84617011,15.36186618
2020-01-24,Estonia,0,0,0,25.54248537,58.67192972
2020-01-24,Ethiopia,0,0,0,39.60080098,8.62278679
2020-01-24,Falkland Islands,0,0,0,-59.35238956,-51.74483954
2020-01-24,Fiji,0,0,0,165.4519543,-17.42858032
2020-01-24,Finland,0,0,0,26.2746656,64.49884603
2020-01-24,France,2,0,0,-2.76172945,42.17344011
2020-01-24,French Polynesia,0,0,0,-144.9049439,-14.72227409
2020-01-24,Gabon,0,0,0,11.7886287,-0.58660025
2020-01-24,Georgia,0,0,0,43.50780252,42.16855755
2020-01-24,Germany,0,0,0,10.38578051,51.10698181
2020-01-24,Ghana,0,0,0,-1.21676566,7.95345644
2020-01-24,Greece,0,0,0,22.95555794,39.07469623
2020-01-24,Greenland,0,0,0,-41.34191127,74.71051289
2020-01-24,Grenada,0,0,0,-61.68220189,12.11725044
2020-01-24,Guatemala,0,0,0,-90.36482009,15.69403664
2020-01-24,Guinea-Bissau,0,0,0,-14.94972445,12.04744948
2020-01-24,Guinea,0,0,0,-10.94066612,10.43621593
2020-01-24,Guyana,0,0,0,-58.98202459,4.79378034
2020-01-24,Haiti,0,0,0,-72.68527509,18.93502563
2020-01-24,Honduras,0,0,0,-86.6151661,14.82688165
2020-01-24,Hungary,0,0,0,19.39559116,47.16277506
2020-01-24,Iceland,0,0,0,-18.57396167,64.99575386
2020-01-24,India,0,0,0,79.6119761,22.88578212
